COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code de la zone géographique;128;Soissons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;129;Bergerac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;130;Montargis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;131;Royan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;132;Lons-le-Saunier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;133;Saumur;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;134;Dole;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;135;Salon-de-Provence;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;136;Laon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;137;Manosque;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;138;Vesoul;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;139;Les Sables-d'Olonne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;140;Rochefort;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;141;Romans-sur-Isère;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;142;Saint-Dié-des-Vosges;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;143;Aubenas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;144;Louviers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;145;Auch;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;146;Saint-Dizier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;147;Roussillon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;148;Carpentras;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;149;Morlaix;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;150;Arles;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;151;Thonon-les-Bains;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;152;Cognac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;153;Cahors;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;154;Villeneuve-sur-Lot;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;155;Ancenis-Saint-Géréon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;156;Auchel - Lillers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;157;Épernay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;158;Sélestat;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;159;Libourne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;160;Chaumont;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;161;Annonay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;162;Lisieux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;163;Cluses;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;164;Abbeville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;165;Orange;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;166;Agde;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;167;Albertville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;168;Oyonnax;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;169;Vitré;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;170;Sarrebourg;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;171;Flers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;172;Fougères;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;173;Les Herbiers;CHAR;3
