COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code de la zone géographique;672;Saint-Julien-du-Sault;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;673;Soultz-sous-Forêts;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;674;Saint-Venant;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;675;Le Bar-sur-Loup;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;676;Le Pouzin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;677;Saint-Geours-de-Maremne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;678;Chaulnes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9A1;Les Abymes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9A2;Basse-Terre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9A3;Bouillante;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9B1;Fort-de-France;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9B2;Le Lorrain;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9B3;Basse-Pointe;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9C1;Cayenne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9C2;Saint-Laurent-du-Maroni;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9C3;Kourou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D1;Saint-Denis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D2;Saint-Pierre - Le Tampon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D3;Le Port;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D4;Saint-Paul;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D5;Saint-Louis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D6;Saint-Benoît;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;9D7;Salazie;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;BAL;Bâle - Saint-Louis (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;GEN;Genève - Annemasse (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;LAU;Lausanne (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;LUX;Luxembourg (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;MON;Monaco - Menton (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;SAR;Sarrebruck (partie française);CHAR;3
