# Description : Depuis 2016, la Région déploie des Espaces Innovation Partagés (EIP) situés dans des établissements d'enseignement secondaire public de la région. Ce sont des lieux équipés techniquement, assimilés à des Fablabs éducatifs, réservés aux élèves et partenaires extérieurs. La Région aménage les locaux, fournit le matériel manuel, numérique ou technique et forme les utilisateurs aux outils numériques de fabrication. Ce réseau de plus de 80 espaces contribue pleinement à REV3 via des projets technologiques et sociétaux.
# Les EIP se structurent autour de deux espaces : un espace de prototypage avec équipements innovants et outillage traditionnel, et un espace de créativité convivial favorisant échanges et création collaborative avec l’équipe pédagogique ou des intervenants extérieurs.
# Données d’avancement des projets par établissement de 2020 à 2024.
# Plus d'informations : (non fournie)
#
# Thématique(s) : FORMATION
# Mots-Clés : EDUCATION, FORMATION, POLITIQUE EDUCATIVE, ESPACE D'INNOVATION PARTAGEE, EIP, QUALIFICATION, REV3, LYCEE, FABLAB, REGION32
# Mots-Clés de lieu : HAUTS-DE-FRANCE, AISNE, OISE, NORD, SOMME, PAS DE CALAIS
# Conditions d'utilisation : Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour
# Données ouvertes : oui
# Source : Données Conseil régional HdF, fournies par la Direction des politiques éducatives
# Date de création : 2024-05-07
# Date de mise à jour des données : 2025-01-13
# Date de mise à jour de la fiche : 2025-02-20
# Fréquence de mise à jour : Lorsque nécessaire
# Date de publication : 2023-05-23
# Langue : Français

code uai,etablissements,villes,statut 2020,statut 2021,statut 2022,statut 2023,statut 2024
0601470X,Lycée Professionnel Lavoisier ,MERU,Déployé,Déployé,Déployé,Déployé,Déployé
0601864A,Lycée Général et Technologique André Malraux ,MONTATAIRE,En cours,En cours,Déployé,Déployé,Déployé
0601870G,LP André Malraux ,MONTATAIRE,En cours,En cours,Déployé,Déployé,Déployé
0801853E,Lycée Polyvalent Jean Racine ,MONTDIDIER,En cours,Déployé,Déployé,Déployé,Déployé
0600020W,Lycée Général et Technologique Marie Curie ,NOGENT-SUR-OISE,Contact pris,Contact pris,Déployé,Déployé,Déployé
0600040T,Lycée Général et Technologique Jean Calvin,NOYON,En cours,En cours,Déployé,Déployé,Déployé
0600041U,Lycée Professionnel Charles de Bovelles ,NOYON,A prospecter,Contact pris,En cours,Déployé,Déployé
0620150B,LP Joliot Curie,OIGNIES,En cours,Contact pris,Contact pris,Contact pris,Projet non reçu
0620221D,LP Professeur Clerc,OUTREAU,Déployé,Déployé,Déployé,Déployé,Déployé
0801514L,Lycée Professionnel Pierre Mendès France ,PERONNE,Déployé,Déployé,Déployé,Déployé,Déployé
0595771C,"LP HORTICOLE 
LPA  Valenciennes Raismes",RAISMES,Déployé,Déployé,Déployé,Déployé,Déployé
0601822E,Lycée Professionnel Arthur Rimbaud ,RIBECOURT-DRESLINCOURT,Déployé,Déployé,Déployé,Déployé,Déployé
0590184E,Lycée Jean Rostand,ROUBAIX,Contact pris,Déployé,Déployé,Déployé,Déployé
0590186G,LP Turgot ,ROUBAIX,Déployé,Déployé,Déployé,Déployé,Déployé
0590189K,LP Lavoisier,ROUBAIX,A prospecter,En cours,En cours,Déployé,Déployé
0590187H,LP Louis Loucheur ,ROUBAIX,Déployé,Déployé,Déployé,Déployé,Déployé
0594391C,Ecole Supérieure Arts Appliqués Textile (ESAAT),ROUBAIX,Déployé,Déployé,Déployé,Déployé,Déployé
0801739F,Lycée Professionnel du Marquenterre ,RUE,Déployé,Déployé,Déployé,Déployé,Déployé
0590192N,Lycée Ernest Couteaux,SAINT-AMAND-LES-EAUX,Déployé,Déployé,Déployé,Déployé,Déployé
0624109E,LPO Giraux Sannier,SAINT-MARTIN-BOULOGNE,,,,Déployé,Déployé
0600048B,Lycée Professionnel Donation de Rothschild ,SAINT-MAXIMIN,A prospecter,En cours,En cours,Déployé,Déployé
0620161N,Lycée Alexandre Ribot,SAINT-OMER,Déployé,Déployé,Déployé,Déployé,Déployé
0620162P,Lycée du Pays de Saint Omer  ,SAINT-OMER,Contact pris,Déployé,Déployé,Déployé,Déployé
0620167V,LP Pierre Mendès France ,SAINT-POL-SUR-TERNOISE,Contact pris,Contact pris,Contact pris,Contact pris,Projet non reçu
0020050U,Lycée Général et Technologique Condorcet ,SAINT-QUENTIN,Déployé,Déployé,Déployé,Déployé,Déployé
0020051V,Lycée des Métiers d'Art,SAINT-QUENTIN,,,,Contact pris,Déployé
0600049C,Lycée Professionnel Amyot d'Inville ,SENLIS,A prospecter,A prospecter,A prospecter,En cours,Déployé
0021476U,Lycée Polyvalent Léonard de Vinci ,SOISSONS,Déployé,Déployé,Déployé,Déployé,Déployé
0022044L,Lycée Polyvalent Le Corbusier,SOISSONS,Contact pris,En cours,Déployé,Déployé,Déployé
0590207E,Lycée Louis Pasteur,SOMAIN,Déployé,Déployé,Déployé,Déployé,Déployé
0622257S,LEGTA du Pas-de-Calais - Site Tilloy-lès-Mofflaines,TILLOY-LES-MOFFLAINES,A prospecter,Contact pris,Contact pris,Contact pris,Projet non reçu
0590214M,LPO Colbert,TOURCOING,En cours,En cours,En cours,En cours,Projet non reçu
0590215N,Lycée Sévigné,TOURCOING,Déployé,Déployé,Déployé,Déployé,Déployé
0590216P,LP Le Corbusier,TOURCOING,Contact pris,En cours,En cours,En cours,Projet non reçu
0595678B,LP Leonard de Vinci,TRITH-ST-LEGER,Déployé,Déployé,Déployé,Déployé,Déployé
0590270Y,LP du Hainaut,VALENCIENNES,Déployé,Déployé,Déployé,Déployé,Déployé
