Numero d'action ,Organisme,Arrondissement,Lieux,Code INSEE  communes,Formation 2024,Formation 1T 2025
2023_A0093_GIP _ABOU_0001,GIP FCIP LILLE,BOULOGNE SUR MER,DESVRES,62268,X,X
2023_A1079_AIDE_ADOU_0001,AIDEQ,DOUAI,DOUAI,59178,X,X
2023_A0093_GIP _ADOU_0001,GIP FCIP LILLE,DOUAI,DOUAI,59178,X,X
2023_B0011_COAC_AAMI_0002,COACH CARRIERE,AMIENS,DOULLENS,80253,X,X
2023_A0163_INST_ADKM_0001,INSTEP,DUNKERQUE MARITIME,DUNKERQUE,59183,X,X
2023_A1459_IRFA_AAVE_0001,IRFA,AVESNES SUR HELPE,FOURMIES,59249,X,X
2023_A1314_ECOL_AABB_0001,APFE 5 CANTONS,ABBEVILLE,FRIVILLE ESCARBOTIN,80368,X,X
2023_A0093_GIP _ABOU_0001,GIP FCIP LILLE,BOULOGNE SUR MER,LE PORTEL,62667,X,
2023_A1459_IRFA_AABB_0001,IRFA,ABBEVILLE,FRIVILLE ESCARBOTIN,80368,X,X
2023_A1459_IRFA_ABEA_0001,IRFA,BEAUVAIS,GRANDVILLIERS,60286,X,X
2023_A0093_GIP _ABOU_0001,GIP FCIP LILLE,BOULOGNE SUR MER,MARQUISE,62560,X,
2023_A0167_SJT_ABEA_0002,SJT,BEAUVAIS,GRANDVILLIERS,60286,X,X
2023_A0093_GIP _ASTO_0001,GIP FCIP LILLE,SAINT OMER,LUMBRES,62534,X,
2023_A1064_ADF_AVER_0001,ADF,VERVINS,GUISE,02361,X,X
2023_A0093_GIP _ACAL_0001,GIP FCIP LILLE,CALAIS,ARDRES,62038,X,
2023_A0093_GIP _ACAL_0001,GIP FCIP LILLE,CALAIS,AUDRUICQ,62057,X,
2023_A1079_AIDE_APER_0001,AIDEQ,PERONNE,HAM,80410,X,X
2023_A0093_GIP _ADKF_0001,GIP FCIP LILLE,DUNKERQUE FLANDRE,HAZEBROUCK,59295,X,X
2023_A0093_GIP _ALEN_0001,GIP FCIP LILLE,LENS,HENIN BEAUMONT,62427,,
2023_A0163_INST_ADKF_0001,INSTEP,DUNKERQUE FLANDRE,HAZEBROUCK,59295,X,X
